,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeRecoveredNumberForState,cumulativeDeceasedNumberForState,cumulativeTestedNumberForState
16,2021-11-17,KA,Kalaburagi,,,,61947,820,61109,,2021-11-17T22:46:00.645308+05:30,2021-11-17T22:46:00.645308+05:30,,,2992584,2946985,38161,53240172
17,2021-11-17,KA,Kodagu,,,,37183,330,36784,,2021-11-17T22:46:00.645308+05:30,2021-11-17T22:46:00.645308+05:30,,,2992584,2946985,38161,53240172
18,2021-11-17,KA,Kolar,,,,46992,636,46299,,2021-11-17T22:46:00.645308+05:30,2021-11-17T22:46:00.645308+05:30,,,2992584,2946985,38161,53240172
19,2021-11-17,KA,Koppal,,,,35198,525,34661,,2021-11-17T22:46:00.645308+05:30,2021-11-17T22:46:00.645308+05:30,,,2992584,2946985,38161,53240172
20,2021-11-17,KA,Mandya,,,,73825,654,73136,,2021-11-17T22:46:00.645308+05:30,2021-11-17T22:46:00.645308+05:30,,,2992584,2946985,38161,53240172
21,2021-11-17,KA,Mysuru,,,,179443,2421,176892,,2021-11-17T22:46:00.645308+05:30,2021-11-17T22:46:00.645308+05:30,,,2992584,2946985,38161,53240172
22,2021-11-17,KA,Raichur,,,,39979,332,39645,,2021-11-17T22:46:00.645308+05:30,2021-11-17T22:46:00.645308+05:30,,,2992584,2946985,38161,53240172
23,2021-11-17,KA,Ramanagara,,,,24212,321,23880,,2021-11-17T22:46:00.645308+05:30,2021-11-17T22:46:00.645308+05:30,,,2992584,2946985,38161,53240172
24,2021-11-17,KA,Shivamogga,,,,69499,1090,68314,,2021-11-17T22:46:00.645308+05:30,2021-11-17T22:46:00.645308+05:30,,,2992584,2946985,38161,53240172
25,2021-11-17,KA,Tumakuru,,,,120964,1134,119715,,2021-11-17T22:46:00.645308+05:30,2021-11-17T22:46:00.645308+05:30,,,2992584,2946985,38161,53240172
26,2021-11-17,KA,Udupi,,,,76820,488,76275,,2021-11-17T22:46:00.645308+05:30,2021-11-17T22:46:00.645308+05:30,,,2992584,2946985,38161,53240172
27,2021-11-17,KA,Uttara Kannada,,,,56353,771,55503,,2021-11-17T22:46:00.645308+05:30,2021-11-17T22:46:00.645308+05:30,,,2992584,2946985,38161,53240172
28,2021-11-17,KA,Vijayapura,,,,36276,495,35775,,2021-11-17T22:46:00.645308+05:30,2021-11-17T22:46:00.645308+05:30,,,2992584,2946985,38161,53240172
29,2021-11-17,KA,Yadgir,,,,27546,206,27338,,2021-11-17T22:46:00.645308+05:30,2021-11-17T22:46:00.645308+05:30,,,2992584,2946985,38161,53240172
30,2021-11-17,KA,Others*,,,,36,3,33,,2021-11-17T22:46:00.645308+05:30,2021-11-17T22:46:00.645308+05:30,,,2992584,2946985,38161,53240172
