State,District,DistrictPop,Discrepancy
GJ,Sabarkantha,2427346,Sabarkantha
GJ,Surat,4996391,Surat
GJ,Surendranagar,1755873,Surendranagar
GJ,Tapi,806489,Tapi
GJ,Vadodara,3639775,Vadodara
GJ,Valsad,1703068,Valsad
HP,Bilaspur,382056,Bilaspur
HP,Chamba,518844,Chamba
HP,Hamirpur,454293,Hamirpur
HP,Kangra,1507223,Kangra
HP,Kinnaur,84298,Kinnaur
HP,Kullu,437474,Kullu
HP,Lahaul and Spiti,31528,Lahaul and Spiti
HP,Mandi,999518,Mandi
HP,Shimla,813384,Shimla
HP,Sirmaur,530164,Sirmaur
HP,Solan,576670,Solan
HP,Una,521057,Una
HR,Ambala,1136784,Ambala
HR,Bhiwani,1629109,Bhiwani
HR,Charkhi Dadri,502276,Charkhi Dadri
HR,Faridabad,1798954,Faridabad
HR,Fatehabad,941522,Fatehabad
HR,Gurugram,1514085,Gurugram
HR,Hisar,1742815,Hisar
HR,Jhajjar,956907,Jhajjar
HR,Jind,1332042,Jind
HR,Kaithal,1072861,Kaithal
HR,Karnal,1506323,Karnal
HR,Kurukshetra,964231,Kurukshetra
HR,Mahendragarh,921680,Mahendragarh
HR,Nuh,1089406,Nuh
HR,Palwal,1040493,Palwal
HR,Panchkula,558890,Panchkula
HR,Panipat,1202811,Panipat
HR,Rewari,896129,Rewari
HR,Rohtak,1058683,Rohtak
HR,Sirsa,1295114,Sirsa
HR,Sonipat,1480080,Sonipat
HR,Yamunanagar,1214162,Yamunanagar
JH,Bokaro,2061918,Bokaro
JH,Chatra,1042304,Chatra
JH,Deoghar,1491879,Deoghar
JH,Dhanbad,2682662,Dhanbad
JH,Dumka,1321096,Dumka
JH,East Singhbhum,2291032,East Singhbhum
JH,Garhwa,1322387,Garhwa
JH,Giridih,2445203,Giridih
JH,Godda,1311382,Godda
JH,Gumla,1025656,Gumla
JH,Hazaribagh,1734005,Hazaribagh
JH,Jamtara,790207,Jamtara
JH,Khunti,530299,Khunti
JH,Koderma,717169,Koderma
JH,Latehar,725673,Latehar
JH,Lohardaga,461738,Lohardaga
JH,Pakur,899200,Pakur
JH,Palamu,1936319,Palamu
JH,Ramgarh,949159,Ramgarh
JH,Ranchi,2912022,Ranchi
JH,Sahibganj,1150038,Sahibganj
JH,Saraikela-Kharsawan,1063458,Saraikela-Kharsawan
JH,Simdega,599813,Simdega
JH,West Singhbhum,1501619,West Singhbhum
JK,Anantnag,1070144,Anantnag
JK,Bandipora,385099,Bandipora
JK,Baramulla,1015503,Baramulla
JK,Budgam,735753,Budgam
JK,Doda,409576,Doda
JK,Ganderbal,297003,Ganderbal
JK,Jammu,1526406,Jammu
JK,Kathua,615711,Kathua
JK,Kishtwar,230696,Kishtwar
JK,Kulgam,422786,Kulgam
JK,Kupwara,875564,Kupwara
JK,Pulwama,570060,Pulwama
JK,Punch,476820,Punch
JK,Rajouri,619266,Rajouri
JK,Ramban,283313,Ramban
JK,Reasi,314714,Reasi
JK,Samba,318611,Samba
JK,Shopiyan,265960,Shopiyan
JK,Srinagar,1269751,Srinagar
JK,Udhampur,555357,Udhampur
KA,Bagalkote,1890826,Bagalkote
KA,Ballari,2532383,Ballari
KA,Belagavi,4778439,Belagavi
KA,Bengaluru Rural,987257,Bengaluru Rural
KA,Bengaluru Urban,9588910,Bengaluru Urban
KA,Bidar,1700018,Bidar
KA,Chamarajanagara,1020962,Chamarajanagara
KA,Chikkaballapura,1254377,Chikkaballapura
KA,Chikkamagaluru,1137753,Chikkamagaluru
KA,Chitradurga,1660378,Chitradurga
KA,Dakshina Kannada,2083625,Dakshina Kannada
KA,Davanagere,1946905,Davanagere
KA,Dharwad,1846993,Dharwad
KA,Gadag,1065235,Gadag
KA,Hassan,1776221,Hassan
KA,Haveri,1598506,Haveri
KA,Kalaburagi,2564892,Kalaburagi
KA,Kodagu,554762,Kodagu
KA,Kolar,1540231,Kolar
KA,Koppal,1391292,Koppal
KA,Mandya,1808680,Mandya
KA,Mysuru,2994744,Mysuru
KA,Raichur,1924773,Raichur
KA,Ramanagara,1082739,Ramanagara
KA,Shivamogga,1755512,Shivamogga
KA,Tumakuru,2681449,Tumakuru
KA,Udupi,1177908,Udupi
KA,Uttara Kannada,1353299,Uttara Kannada
KA,Vijayapura,2175102,Vijayapura
KA,Yadgir,1172985,Yadgir
KL,Alappuzha,2121943,Alappuzha
KL,Ernakulam,3279860,Ernakulam
KL,Idukki,1107453,Idukki
KL,Kannur,2525637,Kannur
KL,Kasaragod,1302600,Kasaragod
KL,Kollam,2629703,Kollam
KL,Kottayam,1979384,Kottayam
KL,Kozhikode,3089543,Kozhikode
KL,Malappuram,4110956,Malappuram
KL,Palakkad,2810892,Palakkad
KL,Pathanamthitta,1195537,Pathanamthitta
KL,Thiruvananthapuram,3307284,Thiruvananthapuram
KL,Thrissur,3110327,Thrissur
KL,Wayanad,816558,Wayanad
LA,Kargil,143000,Kargil
LA,Leh,147000,Leh
LD,Lakshadweep,64473,Lakshadweep
MH,Ahmednagar,4543083,Ahmednagar
MH,Akola,1818617,Akola
MH,Amravati,2887826,Amravati
MH,Aurangabad,3695928,Aurangabad
MH,Beed,2585962,Beed
MH,Bhandara,1198810,Bhandara
MH,Buldhana,2588039,Buldhana
MH,Chandrapur,2194262,Chandrapur
MH,Dhule,2048781,Dhule
MH,Gadchiroli,1071795,Gadchiroli
MH,Gondia,1322331,Gondia
MH,Hingoli,1178973,Hingoli
MH,Jalgaon,4224442,Jalgaon
MH,Jalna,1958483,Jalna
MH,Kolhapur,3874015,Kolhapur
MH,Latur,2455543,Latur
MH,Mumbai,12442373,Mumbai
MH,Nagpur,4653171,Nagpur
MH,Nanded,3356566,Nanded
MH,Nandurbar,1646177,Nandurbar
MH,Nashik,6109052,Nashik
MH,Osmanabad,1660311,Osmanabad
MH,Palghar,2990116,Palghar
MH,Parbhani,1835982,Parbhani
MH,Pune,9426959,Pune
MH,Raigad,2635394,Raigad
MH,Ratnagiri,1612672,Ratnagiri
MH,Sangli,2820575,Sangli
MH,Satara,3003922,Satara
MH,Sindhudurg,848868,Sindhudurg
MH,Solapur,4315527,Solapur
MH,Thane,11060148,Thane
MH,Wardha,1296157,Wardha
MH,Washim,1196714,Washim
MH,Yavatmal,2775457,Yavatmal
ML,East Garo Hills,317618,East Garo Hills
ML,East Jaintia Hills,122436,East Jaintia Hills
ML,East Khasi Hills,824059,East Khasi Hills
ML,North Garo Hills,118325,North Garo Hills
ML,Ribhoi,258380,Ribhoi
ML,South Garo Hills,142574,South Garo Hills
ML,South West Garo Hills,172495,South West Garo Hills
ML,South West Khasi Hills,110152,South West Khasi Hills
ML,West Garo Hills,642923,West Garo Hills
ML,West Jaintia Hills,270352,West Jaintia Hills
ML,West Khasi Hills,385601,West Khasi Hills
MN,Bishnupur,240363,Bishnupur
MN,Chandel,144028,Chandel
MN,Churachandpur,271274,Churachandpur
MN,Imphal East,452661,Imphal East
MN,Imphal West,514683,Imphal West
MN,Jiribam,43818,Jiribam
MN,Kakching,135481,Kakching
MN,Kamjong,45616,Kamjong
MN,Pherzawl,47250,Pherzawl
MN,Senapati,354772,Senapati
MN,Tamenglong,140143,Tamenglong
MN,Thoubal,420517,Thoubal
MN,Ukhrul,183115,Ukhrul
MP,Alirajpur,728677,Alirajpur
MP,Anuppur,749521,Anuppur
MP,Ashoknagar,844979,Ashoknagar
MP,Balaghat,1701156,Balaghat
MP,Barwani,1385659,Barwani
MP,Betul,1575247,Betul
MP,Bhind,1703562,Bhind
MP,Bhopal,2368145,Bhopal
MP,Burhanpur,756993,Burhanpur
MP,Chhatarpur,1762857,Chhatarpur
MP,Chhindwara,2090306,Chhindwara
MP,Damoh,1263703,Damoh
MP,Datia,786375,Datia
MP,Dewas,1563107,Dewas
MP,Dhar,2184672,Dhar
MP,Dindori,704218,Dindori
MP,Guna,1240938,Guna
MP,Gwalior,2030543,Gwalior
MP,Harda,570302,Harda
MP,Hoshangabad,1240975,Hoshangabad
MP,Indore,3272335,Indore
MP,Jabalpur,2460714,Jabalpur
MP,Jhabua,1024091,Jhabua
MP,Katni,1291684,Katni
MP,Khandwa,1309443,Khandwa
MP,Khargone,1872413,Khargone
MP,Mandla,1053522,Mandla
MP,Mandsaur,1339832,Mandsaur
MP,Morena,1965137,Morena
MP,Narsinghpur,1092141,Narsinghpur
MP,Neemuch,825958,Neemuch
MP,Panna,1016028,Panna
MP,Raisen,1331699,Raisen
MP,Rajgarh,1546541,Rajgarh
MP,Ratlam,1454483,Ratlam
MP,Rewa,2363744,Rewa
MP,Sagar,2378295,Sagar
MP,Satna,2228619,Satna
MP,Sehore,1311008,Sehore
MP,Seoni,1378876,Seoni
MP,Shahdol,1064989,Shahdol
MP,Shajapur,1512353,Shajapur
MP,Sheopur,687952,Sheopur
MP,Shivpuri,1725818,Shivpuri
MP,Sidhi,1126515,Sidhi
MP,Singrauli,1178132,Singrauli
MP,Tikamgarh,1444920,Tikamgarh
MP,Ujjain,1986864,Ujjain
MP,Umaria,643579,Umaria
MP,Vidisha,1458212,Vidisha
MZ,Aizawl,404054,Aizawl
MZ,Champhai,125370,Champhai
MZ,Kolasib,83054,Kolasib
MZ,Lawngtlai,117444,Lawngtlai
MZ,Lunglei,154094,Lunglei
MZ,Mamit,85757,Mamit
MZ,Saiha,56366,Saiha
MZ,Serchhip,64875,Serchhip
NL,Dimapur,379769,Dimapur
NL,Kiphire,74033,Kiphire
NL,Kohima,270063,Kohima
NL,Longleng,50593,Longleng
NL,Mokokchung,193171,Mokokchung
NL,Mon,259604,Mon
NL,Peren,163294,Peren
NL,Phek,163294,Phek
NL,Tuensang,414801,Tuensang
NL,Wokha,166239,Wokha
NL,Zunheboto,141014,Zunheboto
OR,Angul,1271703,Angul
OR,Balangir,1648574,Balangir
OR,Balasore,2317419,Balasore
OR,Bargarh,1478833,Bargarh
OR,Bhadrak,1506522,Bhadrak
OR,Boudh,439917,Boudh
OR,Cuttack,2618708,Cuttack
OR,Deogarh,312164,Deogarh
OR,Dhenkanal,1192948,Dhenkanal
OR,Gajapati,575880,Gajapati
OR,Ganjam,3520151,Ganjam
OR,Jagatsinghpur,1136604,Jagatsinghpur
OR,Jajpur,1826275,Jajpur
OR,Jharsuguda,579499,Jharsuguda
OR,Kalahandi,1573054,Kalahandi
OR,Kandhamal,731952,Kandhamal
OR,Kendrapara,1439891,Kendrapara
OR,Kendujhar,1802777,Kendujhar
OR,Khordha,2246341,Khordha
OR,Koraput,1376934,Koraput
OR,Malkangiri,612727,Malkangiri
OR,Mayurbhanj,2513895,Mayurbhanj
OR,Nabarangapur,1218762,Nabarangapur
OR,Nayagarh,962215,Nayagarh
OR,Nuapada,606490,Nuapada
OR,Puri,1697983,Puri
OR,Rayagada,961959,Rayagada
OR,Sambalpur,1044410,Sambalpur
OR,Subarnapur,652107,Subarnapur
OR,Sundargarh,2080664,Sundargarh
PB,Amritsar,2490891,Amritsar
PB,Barnala,596294,Barnala
PB,Bathinda,1388859,Bathinda
PB,Faridkot,618008,Faridkot
PB,Fatehgarh Sahib,599814,Fatehgarh Sahib
PB,Fazilka,1180483,Fazilka
PB,Ferozepur,2026831,Ferozepur
PB,Gurdaspur,2299026,Gurdaspur
PB,Hoshiarpur,1582793,Hoshiarpur
PB,Jalandhar,2181753,Jalandhar
PB,Kapurthala,817668,Kapurthala
PB,Ludhiana,3487882,Ludhiana
PB,Mansa,768808,Mansa
PB,Moga,992289,Moga
PB,Pathankot,626154,Pathankot
PB,Patiala,2892282,Patiala
PB,Rupnagar,683349,Rupnagar
PB,S.A.S. Nagar,986147,S.A.S. Nagar
PB,Sangrur,1654408,Sangrur
PB,Shahid Bhagat Singh Nagar,614362,Shahid Bhagat Singh Nagar
PB,Sri Muktsar Sahib,902702,Sri Muktsar Sahib
PB,Tarn Taran,1120070,Tarn Taran
PY,Karaikal,200222,Karaikal
PY,Mahe,41816,Mahe
PY,Puducherry,950289,Puducherry
PY,Yanam,55626,Yanam
RJ,Ajmer,2584913,Ajmer
RJ,Alwar,3671999,Alwar
RJ,Banswara,1798194,Banswara
RJ,Baran,1223921,Baran
RJ,Barmer,2604453,Barmer
RJ,Bharatpur,2549121,Bharatpur
RJ,Bhilwara,2410459,Bhilwara
RJ,Bikaner,2367745,Bikaner
RJ,Bundi,1113725,Bundi
RJ,Chittorgarh,1544392,Chittorgarh
RJ,Churu,2041172,Churu
RJ,Dausa,1637226,Dausa
RJ,Dholpur,1207293,Dholpur
RJ,Dungarpur,1388906,Dungarpur
RJ,Ganganagar,1969520,Ganganagar
RJ,Hanumangarh,1779650,Hanumangarh
RJ,Jaipur,6663971,Jaipur
RJ,Jaisalmer,672008,Jaisalmer
RJ,Jalore,1830151,Jalore
RJ,Jhalawar,1411327,Jhalawar
RJ,Jhunjhunu,2139658,Jhunjhunu
RJ,Jodhpur,3685681,Jodhpur
RJ,Karauli,1458459,Karauli
RJ,Kota,1950491,Kota
RJ,Nagaur,3309234,Nagaur
RJ,Pali,2038533,Pali
RJ,Pratapgarh,868231,Pratapgarh
RJ,Rajsamand,1158283,Rajsamand
RJ,Sawai Madhopur,1338114,Sawai Madhopur
RJ,Sikar,2677737,Sikar
RJ,Sirohi,1037185,Sirohi
RJ,Tonk,1421711,Tonk
RJ,Udaipur,3067549,Udaipur
SK,East Sikkim,281293,East Sikkim
SK,North Sikkim,43354,North Sikkim
SK,South Sikkim,146742,South Sikkim
SK,West Sikkim,136299,West Sikkim
TG,Adilabad,708952,Adilabad
TG,Bhadradri Kothagudem,1304811,Bhadradri Kothagudem
TG,Hyderabad,3441992,Hyderabad
TG,Jagtial,983414,Jagtial
TG,Jangaon,582457,Jangaon
TG,Jayashankar Bhupalapally,712257,Jayashankar Bhupalapally
TG,Jogulamba Gadwal,664971,Jogulamba Gadwal
TG,Kamareddy,972625,Kamareddy
TG,Karimnagar,1016063,Karimnagar
TG,Khammam,1401639,Khammam
TG,Komaram Bheem,515835,Komaram Bheem
TG,Mahabubabad,1318110,Mahabubabad
TG,Mancherial,807037,Mancherial
TG,Medak,767428,Medak
TG,Medchal Malkajgiri,2542203,Medchal Malkajgiri
TG,Mulugu,294671,Mulugu
TG,Nagarkurnool,893308,Nagarkurnool
TG,Nalgonda,1631399,Nalgonda
TG,Narayanpet,566874,Narayanpet
TG,Nirmal,709415,Nirmal
TG,Nizamabad,1534428,Nizamabad
TG,Peddapalli,795332,Peddapalli
TG,Rajanna Sircilla,546121,Rajanna Sircilla
TG,Ranga Reddy,2551731,Ranga Reddy
TG,Sangareddy,1527628,Sangareddy
TG,Siddipet,993376,Siddipet
TG,Suryapet,1099560,Suryapet
TG,Vikarabad,881250,Vikarabad
TG,Wanaparthy,751553,Wanaparthy
TG,Warangal Rural,716457,Warangal Rural
TG,Warangal Urban,1135707,Warangal Urban
TG,Yadadri Bhuvanagiri,726465,Yadadri Bhuvanagiri
TN,Ariyalur,752481,Ariyalur
TN,Chengalpattu,2556244,Chengalpattu
TN,Chennai,7100000,Chennai
TN,Coimbatore,3472578,Coimbatore
TN,Cuddalore,2600880,Cuddalore
TN,Dharmapuri,1502900,Dharmapuri
TN,Dindigul,2161367,Dindigul
TN,Erode,2259608,Erode
TN,Kallakurichi,1370281,Kallakurichi
TN,Kancheepuram,1166401,Kancheepuram
TN,Kanyakumari,1863178,Kanyakumari
TN,Karur,1076588,Karur
TN,Krishnagiri,1883731,Krishnagiri
TN,Madurai,3991038,Madurai
TN,Mayiladuthurai,901000,Mayiladuthurai
TN,Nagapattinam,1614069,Nagapattinam
TN,Namakkal,1721179,Namakkal
TN,Nilgiris,735071,Nilgiris
TN,Perambalur,564511,Perambalur
TN,Pudukkottai,1918725,Pudukkottai
TN,Ramanathapuram,1337560,Ramanathapuram
TN,Ranipet,1210277,Ranipet
TN,Salem,3480008,Salem
TN,Sivaganga,1341250,Sivaganga
TN,Tenkasi,1407627,Tenkasi
TN,Thanjavur,2402781,Thanjavur
TN,Theni,1243684,Theni
TN,Thiruvallur,3725697,Thiruvallur
TN,Thiruvarur,1268094,Thiruvarur
TN,Thoothukkudi,1738376,Thoothukkudi
TN,Tiruchirappalli,2713858,Tiruchirappalli
TN,Tirunelveli,1665253,Tirunelveli
TN,Tirupathur,1111812,Tirupathur
TN,Tiruppur,2471222,Tiruppur
TN,Tiruvannamalai,2468965,Tiruvannamalai
TN,Vellore,1614242,Vellore
TN,Viluppuram,2093003,Viluppuram
TN,Virudhunagar,1943309,Virudhunagar
TR,Dhalai,377988,Dhalai
TR,Gomati,436868,Gomati
TR,Khowai,327391,Khowai
TR,North Tripura,415946,North Tripura
TR,Sipahijala,484233,Sipahijala
TR,South Tripura,433737,South Tripura
TR,Unokoti,277335,Unokoti
TR,West Tripura,917534,West Tripura
UP,Agra,4380793,Agra
UP,Aligarh,3673849,Aligarh
UP,Ambedkar Nagar,2398709,Ambedkar Nagar
UP,Amethi,2549935,Amethi
UP,Amroha,1838771,Amroha
UP,Auraiya,1372287,Auraiya
UP,Ayodhya,2468371,Ayodhya
UP,Azamgarh,4616509,Azamgarh
UP,Baghpat,1302156,Baghpat
UP,Bahraich,2384239,Bahraich
UP,Ballia,3223642,Ballia
UP,Balrampur,2149066,Balrampur
UP,Banda,1799541,Banda
UP,Barabanki,3257983,Barabanki
UP,Bareilly,4465344,Bareilly
UP,Basti,2461056,Basti
UP,Bhadohi,1554203,Bhadohi
UP,Bijnor,3683896,Bijnor
UP,Budaun,3712738,Budaun
UP,Bulandshahr,3498507,Bulandshahr
UP,Chandauli,1952713,Chandauli
UP,Chitrakoot,990626,Chitrakoot
UP,Deoria,3098637,Deoria
UP,Etah,1761152,Etah
UP,Etawah,1579160,Etawah
UP,Farrukhabad,1887577,Farrukhabad
UP,Fatehpur,2632684,Fatehpur
UP,Firozabad,2496761,Firozabad
UP,Gautam Buddha Nagar,1674714,Gautam Buddha Nagar
UP,Ghaziabad,4661452,Ghaziabad
UP,Ghazipur,3622727,Ghazipur
UP,Gonda,3431386,Gonda
UP,Gorakhpur,4436275,Gorakhpur
UP,Hamirpur,1104021,Hamirpur
UP,Hapur,1338211,Hapur
UP,Hardoi,4091380,Hardoi
UP,Hathras,1565678,Hathras
UP,Jalaun,1670718,Jalaun
UP,Jaunpur,4476072,Jaunpur
UP,Jhansi,2000755,Jhansi
UP,Kannauj,1658005,Kannauj
UP,Kanpur Dehat,1795092,Kanpur Dehat
UP,Kanpur Nagar,4572951,Kanpur Nagar
UP,Kasganj,1438156,Kasganj
UP,Kaushambi,1596909,Kaushambi
UP,Kushinagar,3560830,Kushinagar
UP,Lakhimpur Kheri,4013634,Lakhimpur Kheri
UP,Lalitpur,1218002,Lalitpur
UP,Lucknow,4588455,Lucknow
UP,Maharajganj,2665292,Maharajganj
UP,Mahoba,876055,Mahoba
UP,Mainpuri,1847194,Mainpuri
UP,Mathura,2541894,Mathura
UP,Mau,2205170,Mau
UP,Meerut,3447405,Meerut
UP,Mirzapur,2494533,Mirzapur
UP,Moradabad,4773138,Moradabad
UP,Muzaffarnagar,4138605,Muzaffarnagar
UP,Pilibhit,2037225,Pilibhit
UP,Pratapgarh,3173752,Pratapgarh
UP,Prayagraj,5959798,Prayagraj
UP,Rae Bareli,3404004,Rae Bareli
UP,Rampur,2335398,Rampur
UP,Saharanpur,3464228,Saharanpur
UP,Sambhal,2217020,Sambhal
UP,Sant Kabir Nagar,1714300,Sant Kabir Nagar
UP,Shahjahanpur,3002376,Shahjahanpur
UP,Shamli,1274815,Shamli
UP,Shrawasti,1114615,Shrawasti
UP,Siddharthnagar,2553526,Siddharthnagar
UP,Sitapur,4474446,Sitapur
UP,Sonbhadra,1862612,Sonbhadra
UP,Sultanpur,3790922,Sultanpur
UP,Unnao,3110595,Unnao
UP,Varanasi,3682194,Varanasi
UT,Almora,621927,Almora
UT,Bageshwar,259840,Bageshwar
UT,Chamoli,391114,Chamoli
UT,Champawat,259315,Champawat
UT,Dehradun,1698560,Dehradun
UT,Haridwar,1927029,Haridwar
UT,Nainital,955128,Nainital
UT,Pauri Garhwal,686527,Pauri Garhwal
UT,Pithoragarh,485993,Pithoragarh
UT,Rudraprayag,236857,Rudraprayag
UT,Tehri Garhwal,616409,Tehri Garhwal
UT,Udham Singh Nagar,1648367,Udham Singh Nagar
UT,Uttarkashi,329686,Uttarkashi
WB,Alipurduar,1700000,Alipurduar
WB,Bankura,3596292,Bankura
WB,Birbhum,3502387,Birbhum
WB,Cooch Behar,2822780,Cooch Behar
WB,Dakshin Dinajpur,1670931,Dakshin Dinajpur
WB,Darjeeling,1842034,Darjeeling
WB,Hooghly,5520389,Hooghly
WB,Howrah,4841638,Howrah
WB,Jalpaiguri,3869675,Jalpaiguri
WB,Jhargram,1136548,Jhargram
WB,Kalimpong,251642,Kalimpong
WB,Kolkata,4486679,Kolkata
WB,Malda,3997970,Malda
WB,Murshidabad,7102430,Murshidabad
WB,Nadia,5168488,Nadia
WB,North 24 Parganas,10082852,North 24 Parganas
WB,Paschim Bardhaman,2882031,Paschim Bardhaman
WB,Paschim Medinipur,5094238,Paschim Medinipur
