state_id,state_name,district_id,district_name,Discrepancy,district_name_cowin,Remark,district_id_add
11,Gujarat,159,Banaskantha,Banaskantha,Banaskantha,,
11,Gujarat,180,Bharuch,Bharuch,Bharuch,,
11,Gujarat,175,Bhavnagar,Bhavnagar,Bhavnagar,,771
11,Gujarat,771,Bhavnagar Corporation,#N/A,Bhavnagar Corporation,Add to Bhavnagar,175
11,Gujarat,176,Botad,Botad,Botad,,
11,Gujarat,181,Chhota Udaipur,Chhota Udaipur,Chhotaudepur,,
11,Gujarat,182,Dahod,Dahod,Dahod,,
11,Gujarat,163,Dang,Dang,Dang,,
11,Gujarat,168,Devbhumi Dwarka,Devbhumi Dwarka,Devbhumi Dwaraka,,
11,Gujarat,153,Gandhinagar,Gandhinagar,Gandhinagar,,772
11,Gujarat,772,Gandhinagar Corporation,#N/A,Gandhinagar Corporation,Add to Gandhinagar,153
11,Gujarat,177,Gir Somnath,Gir Somnath,Gir Somnath,,
11,Gujarat,169,Jamnagar,Jamnagar,Jamnagar,,773
11,Gujarat,773,Jamnagar Corporation,#N/A,Jamnagar Corporation,Add to Jamnagar,169
11,Gujarat,178,Junagadh,Junagadh,Junagadh,,774
11,Gujarat,774,Junagadh Corporation,#N/A,Junagadh Corporation,Add to Junagadh,178
11,Gujarat,156,Kheda,Kheda,Kheda,,
11,Gujarat,170,Kutch,Kutch,Kutch,,
11,Gujarat,183,Mahisagar,Mahisagar,Mahisagar,,
11,Gujarat,160,Mehsana,Mehsana,Mehsana,,
11,Gujarat,171,Morbi,Morbi,Morbi,,
11,Gujarat,184,Narmada,Narmada,Narmada,,
11,Gujarat,164,Navsari,Navsari,Navsari,,
11,Gujarat,185,Panchmahal,Panchmahal,Panchmahal,,
11,Gujarat,161,Patan,Patan,Patan,,
11,Gujarat,172,Porbandar,Porbandar,Porbandar,,
11,Gujarat,173,Rajkot,Rajkot,Rajkot,,775
11,Gujarat,775,Rajkot Corporation,#N/A,Rajkot Corporation,Add to Rajkot,173
11,Gujarat,162,Sabarkantha,Sabarkantha,Sabarkantha,,
11,Gujarat,165,Surat,Surat,Surat,,776
11,Gujarat,776,Surat Corporation,#N/A,Surat Corporation,Add to Surat,165
11,Gujarat,157,Surendranagar,Surendranagar,Surendranagar,,
11,Gujarat,166,Tapi,Tapi,Tapi,,
11,Gujarat,155,Vadodara,Vadodara,Vadodara,,777
11,Gujarat,777,Vadodara Corporation,#N/A,Vadodara Corporation,Add to Vadodara,155
11,Gujarat,167,Valsad,Valsad,Valsad,,
12,Haryana,193,Ambala,Ambala,Ambala,,
12,Haryana,200,Bhiwani,Bhiwani,Bhiwani,,
12,Haryana,201,Charkhi Dadri,Charkhi Dadri,Charkhi Dadri,,
12,Haryana,199,Faridabad,Faridabad,Faridabad,,
12,Haryana,196,Fatehabad,Fatehabad,Fatehabad,,
12,Haryana,188,Gurugram,Gurugram,Gurgaon,,
12,Haryana,191,Hisar,Hisar,Hisar,,
12,Haryana,189,Jhajjar,Jhajjar,Jhajjar,,
12,Haryana,204,Jind,Jind,Jind,,
12,Haryana,190,Kaithal,Kaithal,Kaithal,,
12,Haryana,203,Karnal,Karnal,Karnal,,
12,Haryana,186,Kurukshetra,Kurukshetra,Kurukshetra,,
12,Haryana,206,Mahendragarh,Mahendragarh,Mahendragarh,,
12,Haryana,205,Nuh,Nuh,Nuh,,
12,Haryana,207,Palwal,Palwal,Palwal,,
12,Haryana,187,Panchkula,Panchkula,Panchkula,,
12,Haryana,195,Panipat,Panipat,Panipat,,
12,Haryana,202,Rewari,Rewari,Rewari,,
12,Haryana,192,Rohtak,Rohtak,Rohtak,,
12,Haryana,194,Sirsa,Sirsa,Sirsa,,
12,Haryana,198,Sonipat,Sonipat,Sonipat,,
12,Haryana,197,Yamunanagar,Yamunanagar,Yamunanagar,,
13,Himachal Pradesh,219,Bilaspur,Bilaspur,Bilaspur,,
13,Himachal Pradesh,214,Chamba,Chamba,Chamba,,
13,Himachal Pradesh,217,Hamirpur,Hamirpur,Hamirpur,,
13,Himachal Pradesh,213,Kangra,Kangra,Kangra,,
13,Himachal Pradesh,216,Kinnaur,Kinnaur,Kinnaur,,
13,Himachal Pradesh,211,Kullu,Kullu,Kullu,,
13,Himachal Pradesh,210,Lahaul and Spiti,Lahaul and Spiti,Lahaul Spiti,,
13,Himachal Pradesh,215,Mandi,Mandi,Mandi,,
13,Himachal Pradesh,208,Shimla,Shimla,Shimla,,
13,Himachal Pradesh,212,Sirmaur,Sirmaur,Sirmaur,,
13,Himachal Pradesh,209,Solan,Solan,Solan,,
13,Himachal Pradesh,218,Una,Una,Una,,
14,Jammu and Kashmir,224,Anantnag,Anantnag,Anantnag,,
14,Jammu and Kashmir,223,Bandipora,Bandipora,Bandipore,,
14,Jammu and Kashmir,225,Baramulla,Baramulla,Baramulla,,
14,Jammu and Kashmir,229,Budgam,Budgam,Budgam,,
14,Jammu and Kashmir,232,Doda,Doda,Doda,,
14,Jammu and Kashmir,228,Ganderbal,Ganderbal,Ganderbal,,
14,Jammu and Kashmir,230,Jammu,Jammu,Jammu,,
14,Jammu and Kashmir,234,Kathua,Kathua,Kathua,,
14,Jammu and Kashmir,231,Kishtwar,Kishtwar,Kishtwar,,
14,Jammu and Kashmir,221,Kulgam,Kulgam,Kulgam,,
14,Jammu and Kashmir,226,Kupwara,Kupwara,Kupwara,,
14,Jammu and Kashmir,238,Punch,Punch,Poonch,,
14,Jammu and Kashmir,227,Pulwama,Pulwama,Pulwama,,
14,Jammu and Kashmir,237,Rajouri,Rajouri,Rajouri,,
14,Jammu and Kashmir,235,Ramban,Ramban,Ramban,,
14,Jammu and Kashmir,239,Reasi,Reasi,Reasi,,
14,Jammu and Kashmir,236,Samba,Samba,Samba,,
14,Jammu and Kashmir,222,Shopiyan,Shopiyan,Shopian,,
14,Jammu and Kashmir,220,Srinagar,Srinagar,Srinagar,,
14,Jammu and Kashmir,233,Udhampur,Udhampur,Udhampur,,
15,Jharkhand,242,Bokaro,Bokaro,Bokaro,,
15,Jharkhand,245,Chatra,Chatra,Chatra,,
15,Jharkhand,253,Deoghar,Deoghar,Deoghar,,
15,Jharkhand,257,Dhanbad,Dhanbad,Dhanbad,,
15,Jharkhand,258,Dumka,Dumka,Dumka,,
15,Jharkhand,247,East Singhbhum,East Singhbhum,East Singhbhum,,
15,Jharkhand,243,Garhwa,Garhwa,Garhwa,,
15,Jharkhand,256,Giridih,Giridih,Giridih,,
15,Jharkhand,262,Godda,Godda,Godda,,
15,Jharkhand,251,Gumla,Gumla,Gumla,,
15,Jharkhand,255,Hazaribagh,Hazaribagh,Hazaribagh,,
15,Jharkhand,259,Jamtara,Jamtara,Jamtara,,
15,Jharkhand,252,Khunti,Khunti,Khunti,,
15,Jharkhand,241,Koderma,Koderma,Koderma,,
15,Jharkhand,244,Latehar,Latehar,Latehar,,
15,Jharkhand,250,Lohardaga,Lohardaga,Lohardaga,,
15,Jharkhand,261,Pakur,Pakur,Pakur,,
15,Jharkhand,246,Palamu,Palamu,Palamu,,
15,Jharkhand,254,Ramgarh,Ramgarh,Ramgarh,,
15,Jharkhand,240,Ranchi,Ranchi,Ranchi,,
15,Jharkhand,260,Sahibganj,Sahibganj,Sahebganj,,
15,Jharkhand,248,Saraikela-Kharsawan,Saraikela-Kharsawan,Seraikela Kharsawan,,
15,Jharkhand,249,Simdega,Simdega,Simdega,,
15,Jharkhand,263,West Singhbhum,West Singhbhum,West Singhbhum,,
16,Karnataka,270,Bagalkote,Bagalkote,Bagalkot,,
16,Karnataka,276,Bengaluru Rural,Bengaluru Rural,Bangalore Rural,,
16,Karnataka,265,Bengaluru Urban,Bengaluru Urban,Bangalore Urban,,294
16,Karnataka,294,BBMP,#N/A,BBMP,Add to Bengaluru Urban,265
16,Karnataka,264,Belagavi,Belagavi,Belgaum,,
16,Karnataka,274,Ballari,Ballari,Bellary,,
16,Karnataka,272,Bidar,Bidar,Bidar,,
16,Karnataka,271,Chamarajanagara,Chamarajanagara,Chamarajanagar,,
16,Karnataka,273,Chikkamagaluru,Chikkamagaluru,Chikamagalur,,
16,Karnataka,291,Chikkaballapura,Chikkaballapura,Chikkaballapur,,
16,Karnataka,268,Chitradurga,Chitradurga,Chitradurga,,
16,Karnataka,269,Dakshina Kannada,Dakshina Kannada,Dakshina Kannada,,
16,Karnataka,275,Davanagere,Davanagere,Davanagere,,
16,Karnataka,278,Dharwad,Dharwad,Dharwad,,
16,Karnataka,280,Gadag,Gadag,Gadag,,
16,Karnataka,267,Kalaburagi,Kalaburagi,Gulbarga,,
16,Karnataka,289,Hassan,Hassan,Hassan,,
16,Karnataka,279,Haveri,Haveri,Haveri,,
16,Karnataka,283,Kodagu,Kodagu,Kodagu,,
16,Karnataka,277,Kolar,Kolar,Kolar,,
16,Karnataka,282,Koppal,Koppal,Koppal,,
16,Karnataka,290,Mandya,Mandya,Mandya,,
16,Karnataka,266,Mysuru,Mysuru,Mysore,,
16,Karnataka,284,Raichur,Raichur,Raichur,,
16,Karnataka,292,Ramanagara,Ramanagara,Ramanagara,,
16,Karnataka,287,Shivamogga,Shivamogga,Shimoga,,
16,Karnataka,288,Tumakuru,Tumakuru,Tumkur,,
16,Karnataka,286,Udupi,Udupi,Udupi,,
16,Karnataka,281,Uttara Kannada,Uttara Kannada,Uttar Kannada,,
16,Karnataka,293,Vijayapura,Vijayapura,Vijayapura,,
16,Karnataka,285,Yadgir,Yadgir,Yadgir,,
17,Kerala,301,Alappuzha,Alappuzha,Alappuzha,,
17,Kerala,307,Ernakulam,Ernakulam,Ernakulam,,
17,Kerala,306,Idukki,Idukki,Idukki,,
17,Kerala,297,Kannur,Kannur,Kannur,,
17,Kerala,295,Kasaragod,Kasaragod,Kasaragod,,
17,Kerala,298,Kollam,Kollam,Kollam,,
17,Kerala,304,Kottayam,Kottayam,Kottayam,,
17,Kerala,305,Kozhikode,Kozhikode,Kozhikode,,
17,Kerala,302,Malappuram,Malappuram,Malappuram,,
17,Kerala,308,Palakkad,Palakkad,Palakkad,,
17,Kerala,300,Pathanamthitta,Pathanamthitta,Pathanamthitta,,
17,Kerala,296,Thiruvananthapuram,Thiruvananthapuram,Thiruvananthapuram,,
17,Kerala,303,Thrissur,Thrissur,Thrissur,,
17,Kerala,299,Wayanad,Wayanad,Wayanad,,
18,Ladakh,309,Kargil,Kargil,Kargil,,
18,Ladakh,310,Leh,Leh,Leh,,
19,Lakshadweep,311,Agatti Island,#N/A,Agatti Island,Add to Lakshadweep,311
19,Lakshadweep,311,Lakshadweep,Lakshadweep,Lakshadweep,,311
20,Madhya Pradesh,320,Agar Malwa,Agar Malwa,Agar,,
20,Madhya Pradesh,357,Alirajpur,Alirajpur,Alirajpur,,
20,Madhya Pradesh,334,Anuppur,Anuppur,Anuppur,,
20,Madhya Pradesh,354,Ashoknagar,Ashoknagar,Ashoknagar,,
20,Madhya Pradesh,338,Balaghat,Balaghat,Balaghat,,
20,Madhya Pradesh,343,Barwani,Barwani,Barwani,,
20,Madhya Pradesh,362,Betul,Betul,Betul,,
20,Madhya Pradesh,351,Bhind,Bhind,Bhind,,
20,Madhya Pradesh,312,Bhopal,Bhopal,Bhopal,,
20,Madhya Pradesh,342,Burhanpur,Burhanpur,Burhanpur,,
20,Madhya Pradesh,328,Chhatarpur,Chhatarpur,Chhatarpur,,
20,Madhya Pradesh,337,Chhindwara,Chhindwara,Chhindwara,,
20,Madhya Pradesh,327,Damoh,Damoh,Damoh,,
20,Madhya Pradesh,350,Datia,Datia,Datia,,
20,Madhya Pradesh,324,Dewas,Dewas,Dewas,,
20,Madhya Pradesh,341,Dhar,Dhar,Dhar,,
20,Madhya Pradesh,336,Dindori,Dindori,Dindori,,
20,Madhya Pradesh,348,Guna,Guna,Guna,,
20,Madhya Pradesh,313,Gwalior,Gwalior,Gwalior,,
20,Madhya Pradesh,361,Harda,Harda,Harda,,
20,Madhya Pradesh,360,Hoshangabad,Hoshangabad,Hoshangabad,,
20,Madhya Pradesh,314,Indore,Indore,Indore,,
20,Madhya Pradesh,315,Jabalpur,Jabalpur,Jabalpur,,
20,Madhya Pradesh,340,Jhabua,Jhabua,Jhabua,,
20,Madhya Pradesh,353,Katni,Katni,Katni,,
20,Madhya Pradesh,339,Khandwa,Khandwa,Khandwa,,
20,Madhya Pradesh,344,Khargone,Khargone,Khargone,,
20,Madhya Pradesh,335,Mandla,Mandla,Mandla,,
20,Madhya Pradesh,319,Mandsaur,Mandsaur,Mandsaur,,
20,Madhya Pradesh,347,Morena,Morena,Morena,,
20,Madhya Pradesh,352,Narsinghpur,Narsinghpur,Narsinghpur,,
20,Madhya Pradesh,323,Neemuch,Neemuch,Neemuch,,
20,Madhya Pradesh,326,Panna,Panna,Panna,,
20,Madhya Pradesh,359,Raisen,Raisen,Raisen,,
20,Madhya Pradesh,358,Rajgarh,Rajgarh,Rajgarh,,
20,Madhya Pradesh,322,Ratlam,Ratlam,Ratlam,,
20,Madhya Pradesh,316,Rewa,Rewa,Rewa,,
20,Madhya Pradesh,317,Sagar,Sagar,Sagar,,
20,Madhya Pradesh,333,Satna,Satna,Satna,,
20,Madhya Pradesh,356,Sehore,Sehore,Sehore,,
20,Madhya Pradesh,349,Seoni,Seoni,Seoni,,
20,Madhya Pradesh,332,Shahdol,Shahdol,Shahdol,,
20,Madhya Pradesh,321,Shajapur,Shajapur,Shajapur,,
20,Madhya Pradesh,346,Sheopur,Sheopur,Sheopur,,
20,Madhya Pradesh,345,Shivpuri,Shivpuri,Shivpuri,,
20,Madhya Pradesh,331,Sidhi,Sidhi,Sidhi,,
20,Madhya Pradesh,330,Singrauli,Singrauli,Singrauli,,
20,Madhya Pradesh,325,Tikamgarh,Tikamgarh,Tikamgarh,,
20,Madhya Pradesh,318,Ujjain,Ujjain,Ujjain,,
20,Madhya Pradesh,329,Umaria,Umaria,Umaria,,
20,Madhya Pradesh,355,Vidisha,Vidisha,Vidisha,,
21,Maharashtra,391,Ahmednagar,Ahmednagar,Ahmednagar,,
21,Maharashtra,364,Akola,Akola,Akola,,
21,Maharashtra,366,Amravati,Amravati,Amravati,,
21,Maharashtra,397,Aurangabad,Aurangabad,Aurangabad ,,
21,Maharashtra,384,Beed,Beed,Beed,,
21,Maharashtra,370,Bhandara,Bhandara,Bhandara,,
21,Maharashtra,367,Buldhana,Buldhana,Buldhana,,
21,Maharashtra,380,Chandrapur,Chandrapur,Chandrapur,,
21,Maharashtra,388,Dhule,Dhule,Dhule,,
21,Maharashtra,379,Gadchiroli,Gadchiroli,Gadchiroli,,
21,Maharashtra,378,Gondia,Gondia,Gondia,,
21,Maharashtra,386,Hingoli,Hingoli,Hingoli,,
21,Maharashtra,390,Jalgaon,Jalgaon,Jalgaon,,
21,Maharashtra,396,Jalna,Jalna,Jalna,,
21,Maharashtra,371,Kolhapur,Kolhapur,Kolhapur,,
21,Maharashtra,383,Latur,Latur,Latur,,
21,Maharashtra,395,Mumbai,Mumbai,Mumbai,,
21,Maharashtra,365,Nagpur,Nagpur,Nagpur,,
21,Maharashtra,382,Nanded,Nanded,Nanded,,
21,Maharashtra,387,Nandurbar,Nandurbar,Nandurbar,,
21,Maharashtra,389,Nashik,Nashik,Nashik,,
21,Maharashtra,381,Osmanabad,Osmanabad,Osmanabad,,
21,Maharashtra,394,Palghar,Palghar,Palghar,,
21,Maharashtra,385,Parbhani,Parbhani,Parbhani,,
21,Maharashtra,363,Pune,Pune,Pune,,
21,Maharashtra,393,Raigad,Raigad,Raigad,,
21,Maharashtra,372,Ratnagiri,Ratnagiri,Ratnagiri,,
21,Maharashtra,373,Sangli,Sangli,Sangli,,
21,Maharashtra,376,Satara,Satara,Satara,,
21,Maharashtra,374,Sindhudurg,Sindhudurg,Sindhudurg,,
21,Maharashtra,375,Solapur,Solapur,Solapur,,
21,Maharashtra,392,Thane,Thane,Thane,,
21,Maharashtra,377,Wardha,Wardha,Wardha,,
21,Maharashtra,369,Washim,Washim,Washim,,
21,Maharashtra,368,Yavatmal,Yavatmal,Yavatmal,,
22,Manipur,398,Bishnupur,Bishnupur,Bishnupur,,
22,Manipur,399,Chandel,Chandel,Chandel,,
22,Manipur,400,Churachandpur,Churachandpur,Churachandpur,,
22,Manipur,401,Imphal East,Imphal East,Imphal East,,
22,Manipur,402,Imphal West,Imphal West,Imphal West,,
22,Manipur,410,Jiribam,Jiribam,Jiribam,,
22,Manipur,413,Kakching,Kakching,Kakching,,
22,Manipur,409,Kamjong,Kamjong,Kamjong,,
22,Manipur,408,Kangpokpi,Kangpokpi,Kangpokpi,,
22,Manipur,412,Noney,Noney,Noney,,
22,Manipur,411,Pherzawl,Pherzawl,Pherzawl,,
22,Manipur,403,Senapati,Senapati,Senapati,,
22,Manipur,404,Tamenglong,Tamenglong,Tamenglong,,
22,Manipur,407,Tengnoupal,Tengnoupal,Tengnoupal,,
