,District,CumulativeConfirmedforDistrict,CumulativeRecoveredforDistrict,CumulativeDeceasedforDistrict,CumulativeTestedforDistrict,DeltaTestedforDistrict,CumulativeConfirmedforState,CumulativeRecoveredforState,CumulativeDeceasedforState,CumulativeTestedforState,DeltaConfirmedforState,DeltaRecoveredforState,DeltaDeceasedforState,DeltaTestedforState,DeltaConfirmedforDistrict,DeltaRecoveredforDistrict,DeltaDeceasedforDistrict,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,deltaVaccinated1ForState,deltaVaccinated2ForState,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,Date,State/UTCode
22,Madhya Pradesh,792757,782150,10523,19947811.0,46795.0,34201393,33575688,455100,601901543.0,11852,16102,357,1131826,8,9,0,720708246,308900106,2634222,3895763,49789256,19165718,26180,362593,2021-10-25,TT
23,Mizoram,117419,109702,412,1258216.0,2613.0,34201393,33575688,455100,601901543.0,11852,16102,357,1131826,158,775,1,720708246,308900106,2634222,3895763,708292,503554,997,2787,2021-10-25,TT
24,Nagaland,31726,29768,681,391351.0,541.0,34201393,33575688,455100,601901543.0,11852,16102,357,1131826,14,8,2,720708246,308900106,2634222,3895763,706016,473056,1179,6117,2021-10-25,TT
25,Odisha,1038836,1026277,8365,21585133.0,64709.0,34201393,33575688,455100,601901543.0,11852,16102,357,1131826,425,360,3,720708246,308900106,2634222,3895763,25137473,10784100,133037,140682,2021-10-25,TT
26,Punjab,602238,585448,16553,15221846.0,13545.0,34201393,33575688,455100,601901543.0,11852,16102,357,1131826,29,19,2,720708246,308900106,2634222,3895763,15776937,6052854,34468,37170,2021-10-25,TT
27,Puducherry,127765,125454,1857,1900583.0,2618.0,34201393,33575688,455100,601901543.0,11852,16102,357,1131826,30,43,0,720708246,308900106,2634222,3895763,729142,390967,3507,6650,2021-10-25,TT
28,Rajasthan,954403,945432,8954,14717261.0,4641.0,34201393,33575688,455100,601901543.0,11852,16102,357,1131826,1,15,0,720708246,308900106,2634222,3895763,42309586,19340986,36301,108391,2021-10-25,TT
29,Sikkim,31904,31010,394,258704.0,208.0,34201393,33575688,455100,601901543.0,11852,16102,357,1131826,4,23,0,720708246,308900106,2634222,3895763,521146,441532,165,4067,2021-10-25,TT
30,Telangana,670453,662481,3949,27347333.0,38588.0,34201393,33575688,455100,601901543.0,11852,16102,357,1131826,179,104,2,720708246,308900106,2634222,3895763,21551837,8955202,126118,144316,2021-10-25,TT
31,Tamil Nadu,2696328,2647504,36033,50423638.0,122700.0,34201393,33575688,455100,601901543.0,11852,16102,357,1131826,1112,1341,14,720708246,308900106,2634222,3895763,40558399,16158306,68696,117762,2021-10-25,TT
32,Tripura,84386,83412,813,1962755.0,1754.0,34201393,33575688,455100,601901543.0,11852,16102,357,1131826,5,8,0,720708246,308900106,2634222,3895763,2505432,1565005,1110,18318,2021-10-25,TT
33,Uttar Pradesh,1710097,1687101,22899,82643131.0,148645.0,34201393,33575688,455100,601901543.0,11852,16102,357,1131826,2,8,0,720708246,308900106,2634222,3895763,96500461,30218266,589068,667747,2021-10-25,TT
34,Uttarakhand,343832,330137,7399,7708051.0,10280.0,34201393,33575688,455100,601901543.0,11852,16102,357,1131826,11,16,0,720708246,308900106,2634222,3895763,7457359,3680605,4592,40648,2021-10-25,TT
35,West Bengal,1587260,1560325,19066,18957289.0,29100.0,34201393,33575688,455100,601901543.0,11852,16102,357,1131826,805,807,11,720708246,308900106,2634222,3895763,53041486,20044709,659577,356815,2021-10-25,TT
